Size,Formula1(ns),Formula2(ns)
100,7383800,20042100
120,794100,18596600
140,1532100,25525500
160,1456600,40322700
180,406000,57055200
200,422300,75499500
220,588200,99209800
240,352500,128678900
260,436500,147610600
280,420400,154304200
300,591500,256284600
320,553200,229119300
340,597200,386063600
360,875500,433152400
380,888900,541543200
400,1012900,618268400
420,1127500,735447400
440,1020800,831986000
460,1212200,929679100
480,1173300,1060096900
500,3094400,1186855000
520,1064400,1147547900
540,1333200,1324016300
560,1281700,1327699100
580,1383600,1465034800
600,1773800,2132534000
620,1943700,2376047600
640,2132900,2800842200
660,2207600,2865866600
680,1703100,4149070700
700,2022700,3543131900
720,2106600,3290420700
740,2169400,3277075500
760,2983200,4515012000
780,3280800,4754661100
800,3204900,5070704300
820,3523200,5170320700
840,3644600,5556194400
860,4015900,6029488700
880,3972200,6591327900
900,4304100,7096759100
920,3304300,6373016800
940,4382200,7927465200
960,4437900,8156497100
980,4619500,8683760300
1000,5001300,10169952100
